name,type,disease_area,approval_year,approving_body,iss_direct,evidence_chain,sources
Keytruda (pembrolizumab) subcutaneous formulation,Drug,Cancer,2025,FDA,Yes,"Merck conducted protein crystal growth experiments with pembrolizumab on SpaceX-CRS-10 (2017). Microgravity yielded homogeneous monomodal crystalline suspensions (39 micrometer) versus heterogeneous bimodal distributions (13 and 102 micrometer) on Earth. Results enabled subcutaneous injection formulation, FDA-approved September 2025 as a time-saving alternative to IV infusion.","https://www.nasa.gov/missions/station/iss-research/space-station-research-informs-new-fda-approved-cancer-therapy/ ; https://www.nature.com/articles/s41526-019-0090-3"
MicroMed DeBakey VAD (Ventricular Assist Device),Device,Cardiovascular diseases,1998,FDA,No,"NASA Johnson Space Center engineers worked with surgeon Michael DeBakey to adapt Space Shuttle fuel-pump impeller technology into a miniaturized axial-flow ventricular assist device. Weighs less than 4 ounces (one-tenth the size of pulsatile VADs at the time). Licensed exclusively to MicroMed Technology in 1996. Used as bridge-to-transplant for end-stage heart failure.","https://spinoff.nasa.gov/spinoff2002/hm_3.html"
Automatic Implantable Defibrillator (AID),Device,Cardiovascular diseases,1985,FDA,No,"Cardiac Pacemakers Inc. (CPI) used NASA space-circuitry miniaturization technology to develop the first human-implantable automatic defibrillator. Continuously monitors heart rhythm and delivers a corrective shock when fibrillation is detected.","https://spinoff.nasa.gov/node/9215"
BioZ ICG Cardiac Output Monitor,Device,Cardiovascular diseases,1998,FDA,No,"CardioDynamics International developed the BioZ impedance cardiography system through a Small Business Innovation Research award from NASA Johnson Space Center. NASA originally used ICG to monitor astronaut cardiac output non-invasively. Now used in emergency departments and cardiology clinics worldwide.","https://spinoff.nasa.gov/Spinoff/2004/hm_5.html"
Cordella Pulmonary Artery Sensor (Endotronix),Device,Cardiovascular diseases,2024,FDA,No,"Endotronix licensed NASA radio-frequency sensor technology to develop a tiny passive implantable sensor that measures pulmonary artery pressure without an embedded power source. Used to manage heart failure patients and prevent hospital readmissions.","https://www.nasa.gov/centers-and-facilities/glenn/pioneering-nasa-astronaut-health-tech-thwarts-heart-failure/"
ArterioVision (Carotid Intima Media Thickness),Device,Cardiovascular diseases,2002,FDA,No,"Medical Technologies International licensed NASA Jet Propulsion Laboratory image-processing software originally developed for Mars rover imagery. Measures the thickness of carotid artery walls from ultrasound images to assess cardiovascular disease risk.","https://spinoff.nasa.gov/Spinoff2008/hm_3.html"
AlterG Anti-Gravity Treadmill,Device,Musculoskeletal diseases,2008,FDA,No,"Sean Whalen developed the differential air pressure (DAP) treadmill at NASA Ames as a countermeasure for astronaut bone and muscle loss. Spun out as AlterG Inc. Uses positive air pressure to unweight a patient by up to 80%, enabling rehabilitation after surgery, stroke, or injury without joint impact. Now used in over 4000 hospitals and clinics worldwide.","https://alterg.com ; https://pmc.ncbi.nlm.nih.gov/articles/PMC11395184/"
LADARVision 4000 LASIK Eye Tracker,Device,Eye diseases,1998,FDA,No,"Autonomous Technologies Corporation incorporated NASA Laser Detection and Ranging (LADAR) technology, originally developed in the 1980s for autonomous spacecraft rendezvous and docking, into the LADARVision 4000 LASIK system. Tracks involuntary eye movements 4000 times per second during corneal reshaping, dramatically improving safety and precision of refractive surgery.","https://www.nasa.gov/missions/station/improving-eye-surgery-with-space-technology/"
iDESIGN Wavefront Refractive System,Device,Eye diseases,2015,FDA,No,"Johnson and Johnson Vision (formerly AMO) commercialized NASA's infrared Shack-Hartmann wavefront sensor (originally developed for adaptive optics on space telescopes) as the iDESIGN system. Provides higher-resolution corneal mapping for custom LASIK and improved post-surgical visual outcomes.","https://www.sciencedirect.com/science/article/abs/pii/S2214552424000221"
neuroArm MRI-Compatible Surgical Robot,Device,Neurological diseases,2008,Health Canada,No,"University of Calgary and MD Robotics adapted Canadarm and Canadarm2 (Space Shuttle and ISS robotic arm) technology to build neuroArm, the first MRI-compatible image-guided neurosurgical robot. Allows neurosurgeons to operate on patients inside an MRI scanner with real-time imaging. First clinical use 2008.","https://en.wikipedia.org/wiki/NeuroArm"
ArthroFree Wireless Surgical Camera (Lazurite),Device,Musculoskeletal diseases,2022,FDA 510(k),No,"Lazurite developed the first wireless minimally-invasive surgical camera to receive FDA market clearance, leveraging NASA spacesuit camera and satellite battery experience. Uses proprietary Meridiem low-heat high-intensity LED light. Eliminates camera cables that contribute to surgical infections and burns.","https://lazurite.co/lazurites-arthrofree-wireless-camera-system-for-minimally-invasive-surgery-receives-fda-market-clearance/"
ARED + Bisphosphonate Bone Loss Protocol,Therapeutic Protocol,Musculoskeletal diseases,2013,Clinical evidence,Yes,"NASA-JAXA joint clinical study on ISS astronauts demonstrated that the Advanced Resistive Exercise Device (ARED) combined with weekly oral alendronate fully prevents the bone density loss, calcium excretion, and renal stone risk normally seen during 6-month spaceflight. Validated bisphosphonate use in immobilized and bedridden terrestrial patients. Published in Osteoporosis International (2013) and follow-up studies through 2024.","https://link.springer.com/article/10.1007/s00198-012-2243-z ; https://pubmed.ncbi.nlm.nih.gov/26456109/"
Mayo Clinic Space-Expanded Mesenchymal Stem Cells,Therapy,Cancer,2024,Phase 1 cleared,Yes,"Mayo Clinic established (under Dr. Abba Zubair) that human mesenchymal stem cells expanded aboard the ISS show greater immunosuppressive activity and viability than ground-grown cells, with no evidence of tumor formation after 14 days. Enables more potent stem cell therapies for stroke, hematological cancers, and graft-versus-host disease. Currently in Phase 1 clinical evaluation.","https://www.nature.com/articles/s41526-020-0106-z ; https://newsnetwork.mayoclinic.org/discussion/space-a-new-frontier-for-exploring-stem-cell-therapy/"
Astrogenetix Salmonella Vaccine Candidate,Vaccine,Endocrine and metabolic diseases,2024,Phase 1 in progress,Yes,"Cheryl Nickerson (Arizona State University) discovered on STS-115 and follow-up ISS missions that Salmonella becomes more virulent in microgravity, exposing previously hidden vaccine targets. Astrogenetix advanced a candidate vaccine into Phase 1 human trials. Same platform being applied to MRSA and pneumococcal vaccines.","https://news.asu.edu/content/atlantis-carry-next-generation-vaccine-candidate-last-space-voyage ; https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/International_Space_Station_Benefits_for_Humanity/International_Space_Station_Plays_Role_in_Vaccine_Development"
Implantable Programmable Infusion Pump (MiniMed),Device,Endocrine and metabolic diseases,1986,FDA,No,"MiniMed Technologies (now Medtronic) adapted NASA Mars Viking lander programmable propellant valve technology to create the first implantable programmable insulin pump for type-1 diabetes patients. Foundational technology for modern continuous subcutaneous insulin infusion (CSII).","https://spinoff.nasa.gov/spinoff1996/45.html"
Pulse Oximeter (Transmissive Finger),Device,Cardiovascular diseases,1981,FDA,No,"Originally developed at NASA Ames Research Center to non-invasively monitor astronaut blood oxygen saturation. Now standard of care in every hospital, ambulance, and surgical theater worldwide.","https://en.wikipedia.org/wiki/NASA_spin-off_technologies"
WARP-10 LED Light Therapy (Quantum Devices),Device,Cancer,2003,FDA 510(k),Yes,"Quantum Devices Inc. commercialized NASA's high-intensity LED technology, originally developed for plant growth experiments on the Space Shuttle and ISS, as the WARP-10 (Warfighter Accelerated Recovery by Photobiomodulation). FDA cleared for relief of muscle and joint pain, increased local blood circulation, and treatment of mucositis in pediatric cancer patients receiving bone marrow transplants.","https://spinoff.nasa.gov/Spinoff2008/hm_4.html"
Cochlear Implant (Audio Processor),Device,Neurological diseases,1984,FDA,No,"NASA aerospace electronics and digital signal processing expertise (Adam Kissiah at Kennedy Space Center) contributed to early cochlear implant audio processor designs. Now restores hearing to over 1 million severely deaf patients worldwide.","https://en.wikipedia.org/wiki/NASA_spin-off_technologies"
3D Printed Nerve Regeneration Implants (Auxilium Biotechnologies),Device,Neurological diseases,2024,Preclinical,Yes,"Eight nerve-guidance implants were 3D printed aboard the ISS in 2024 using Auxilium Biotechnologies bioink. Microgravity printing prevents particle settling and produces more uniform structures than ground printing, improving blood flow and targeted drug delivery to damaged nerves. In preclinical trials.","https://www.nasa.gov/missions/station/iss-research/out-of-this-world-discoveries-space-station-research-in-2025/"
Eli Lilly Insulin Crystal Formulation Research,Drug,Endocrine and metabolic diseases,2024,Research,Yes,"Eli Lilly conducted insulin crystallization experiments aboard the ISS using the PIL-BOX FC system. ISS-grown insulin crystals are larger and more highly ordered than Earth-grown crystals, enabling improved long-acting formulations and structure-based drug design. Three Lilly experiments planned for diabetes, cardiovascular disease, and pain.","https://issnationallab.org/iss360/eli-lilly-company-fly-to-the-iss-for-rd/"
rHEALTH Diagnostic Sensor (DNA Medicine Institute),Device,Cancer,2024,FDA pre-submission,Yes,"DNA Medicine Institute developed rHEALTH (Reusable Handheld Electrolyte and Lab Technology for Humans) under NASA Glenn SBIR funding for crew health monitoring on long-duration spaceflight. Compact handheld device measures over 30 biomarkers from a single drop of blood. NASA iTech winner; FDA submission pathway in progress for terrestrial point-of-care use.","https://spinoff.nasa.gov/Spinoff2013/hm_6.html"
